exon_gencodeID	chr	start	end	strand	gencodeID	gene_Symbol	logFC	t	P.Value	adj.P.Val
ENSMUSE00000381359.7	chr4	138,396,000	138,397,714	+	ENSMUSG00000046109.6	AB041806	0.507982299	9.096215396	0.00000000000003	0.000000009
ENSMUSE00000212749.7	chr8	94,173,336	94,173,568	+	ENSMUSG00000031762.7	Mt2	0.486709990	8.556459930	0.00000000000040	0.000000038
ENSMUSE00001391998.1	chr8	94,173,336	94,173,564	+	ENSMUSG00000031762.7	Mt2	0.486709990	8.556459930	0.00000000000040	0.000000038
ENSMUSE00000169827.1	chr2	152,885,011	152,885,227	+	ENSMUSG00000027469.16	Tpx2	-0.327474810	-8.384804527	0.00000000000089	0.000000052
ENSMUSE00000212752.3	chr8	94,173,127	94,173,192	+	ENSMUSG00000031762.7	Mt2	0.478223016	8.427017453	0.00000000000073	0.000000052
ENSMUSE00000648103.1	chr11	99,003,507	99,003,707	-	ENSMUSG00000020914.17	Top2a	-0.387978998	-8.167636391	0.00000000000244	0.000000086
ENSMUSE00000112505.1	chr11	98,997,829	98,997,919	-	ENSMUSG00000020914.17	Top2a	-0.365283489	-8.184827609	0.00000000000225	0.000000086
ENSMUSE00000874091.1	chr15	81,814,944	81,817,012	+	ENSMUSG00000022389.15	Tef	0.277854038	8.149559624	0.00000000000266	0.000000086
ENSMUSE00001275040.1	chrX	74,338,690	74,338,946	+	ENSMUSG00000031398.13	Plxna3	-0.325125414	-8.212116443	0.00000000000198	0.000000086
ENSMUSE00000334125.1	chr2	152,892,113	152,892,300	+	ENSMUSG00000027469.16	Tpx2	-0.333791098	-8.073210759	0.00000000000379	0.000000110
ENSMUSE00001382857.1	chr7	141,321,926	141,322,012	-	ENSMUSG00000058886.9	Deaf1	0.324162600	7.978873832	0.00000000000588	0.000000154
ENSMUSE00001393269.1	chr8	94,172,860	94,172,952	+	ENSMUSG00000031762.7	Mt2	0.461632524	7.962134985	0.00000000000636	0.000000154
ENSMUSE00000468090.2	chr7	141,321,110	141,321,175	-	ENSMUSG00000058886.9	Deaf1	0.316761487	7.893786453	0.00000000000873	0.000000174
ENSMUSE00000331875.8	chr8	94,172,664	94,172,875	+	ENSMUSG00000031762.7	Mt2	0.451390666	7.892938496	0.00000000000877	0.000000174
ENSMUSE00001062475.1	chr11	98,999,162	98,999,347	-	ENSMUSG00000020914.17	Top2a	-0.328629828	-7.887301160	0.00000000000900	0.000000174
ENSMUSE00000803117.1	chr2	25,057,101	25,057,347	+	ENSMUSG00000006476.19	Nsmf	0.262982017	7.859430867	0.00000000001024	0.000000175
ENSMUSE00000386762.8	chr4	101,150,332	101,152,370	+	ENSMUSG00000035275.14	Raver2	0.261474524	7.867505413	0.00000000000987	0.000000175
ENSMUSE00001339995.1	chr2	25,057,101	25,057,176	+	ENSMUSG00000006476.19	Nsmf	0.265307031	7.811054093	0.00000000001282	0.000000178
ENSMUSE00000817975.1	chr2	25,057,147	25,057,176	+	ENSMUSG00000006476.19	Nsmf	0.276553666	7.830605625	0.00000000001171	0.000000178
ENSMUSE00000478343.2	chr7	141,321,926	141,322,065	-	ENSMUSG00000058886.9	Deaf1	0.317408454	7.834229589	0.00000000001151	0.000000178
ENSMUSE00000397730.3	chr19	37,420,259	37,421,859	+	ENSMUSG00000012443.4	Kif11	-0.338862944	-7.811244767	0.00000000001281	0.000000178
ENSMUSE00000361799.5	chr8	94,180,102	94,180,327	+	ENSMUSG00000031765.8	Mt1	0.439121700	7.762602109	0.00000000001605	0.000000212
ENSMUSE00000488447.4	chr7	135,694,232	135,701,067	-	ENSMUSG00000031004.8	Mki67	-0.352077400	-7.710710130	0.00000000002041	0.000000220
ENSMUSE00000467262.2	chr8	94,179,823	94,179,888	+	ENSMUSG00000031765.8	Mt1	0.423866778	7.734318442	0.00000000001830	0.000000220
ENSMUSE00001433223.1	chr15	3,277,157	3,277,273	+	ENSMUSG00000064373.12	Selenop	0.372137207	7.714047268	0.00000000002010	0.000000220
