transcript_id	transcript_name	gencodeID	gene_Symbol	logFC	t	P.Value	adj.P.Val
ENSMUST00000034742.7	Ccnb2-201	ENSMUSG00000032218.7	Ccnb2	-0.306328068	-8.234691730	0.000000000003	0.0000000981
ENSMUST00000068031.7	Top2a-201	ENSMUSG00000020914.17	Top2a	-0.342600940	-8.326770402	0.000000000002	0.0000000981
ENSMUST00000034214.7	Mt2-201	ENSMUSG00000031762.7	Mt2	0.460751196	8.055914921	0.000000000007	0.0000001088
ENSMUST00000012587.3	Kif11-201	ENSMUSG00000012443.4	Kif11	-0.320615004	-8.104379926	0.000000000006	0.0000001088
ENSMUST00000028938.6	Cst3-201	ENSMUSG00000027447.6	Cst3	0.227192866	7.725503713	0.000000000032	0.0000002368
ENSMUST00000031366.11	Kntc1-201	ENSMUSG00000029414.11	Kntc1	-0.302226773	-7.767401672	0.000000000027	0.0000002368
ENSMUST00000034215.7	Mt1-201	ENSMUSG00000031765.8	Mt1	0.375831143	7.743928926	0.000000000030	0.0000002368
ENSMUST00000084383.9	Rbm10-203	ENSMUSG00000031060.16	Rbm10	-0.199307548	-7.759344482	0.000000000028	0.0000002368
ENSMUST00000062902.6	AB041806-201	ENSMUSG00000046109.6	AB041806	0.340860591	7.651768348	0.000000000045	0.0000002628
ENSMUST00000173341.7	Gtf2i-210	ENSMUSG00000060261.15	Gtf2i	-0.361581720	-7.671709273	0.000000000041	0.0000002628
ENSMUST00000022163.14	Btf3-201	ENSMUSG00000021660.14	Btf3	0.499443752	7.591043088	0.000000000059	0.0000003128
ENSMUST00000038463.14	Raver2-201	ENSMUSG00000035275.14	Raver2	0.210314360	7.394634785	0.000000000140	0.0000006840
ENSMUST00000032924.5	Kctd13-201	ENSMUSG00000030685.5	Kctd13	0.176730325	7.174661279	0.000000000369	0.0000015496
ENSMUST00000045802.6	Pclaf-201	ENSMUSG00000040204.6	Pclaf	-0.332747024	-7.174181535	0.000000000370	0.0000015496
