chr	start	end	width	strand	Length	gencodeID	gene_type	EntrezID	Symbol	meanExprs	MGI_Symbol	logFC	t	P.Value	adj.P.Val
chr11	98,992,943	99,024,189	31,247	-	9,013	ENSMUSG00000020914.17	protein_coding	21973	Top2a	7.002683203	MGI:MGI:98790	-0.342749860	-9.266029785	0.00000000000002	0.0000000004
chr2	152,847,964	152,895,321	47,358	+	4,677	ENSMUSG00000027469.16	protein_coding	72119	Tpx2	5.743131708	MGI:MGI:1919369	-0.280491577	-8.811601786	0.00000000000017	0.0000000011
chr4	138,395,198	138,397,714	2,517	+	2,105	ENSMUSG00000046109.6	antisense	58213	AB041806	0.982476964	MGI:MGI:1931024	0.491559396	8.824329543	0.00000000000016	0.0000000011
chr19	37,376,403	37,421,859	45,457	+	7,461	ENSMUSG00000012443.4	protein_coding	16551	Kif11	3.239459540	MGI:MGI:1098231	-0.329510704	-8.618270901	0.00000000000041	0.0000000020
chr5	123,749,716	123,821,593	71,878	+	7,983	ENSMUSG00000029414.11	protein_coding	208628	Kntc1	0.820119684	MGI:MGI:2673709	-0.388480654	-8.520337631	0.00000000000064	0.0000000026
chr9	70,407,692	70,421,547	13,856	-	1,531	ENSMUSG00000032218.7	protein_coding	12442	Ccnb2	5.913192797	MGI:MGI:88311	-0.323097890	-8.366709644	0.00000000000130	0.0000000043
chr8	94,172,664	94,173,564	901	+	588	ENSMUSG00000031762.7	protein_coding	17750	Mt2	38.954060064	MGI:MGI:97172	0.449261121	8.249945007	0.00000000000222	0.0000000063
chrX	74,329,066	74,344,689	15,624	+	7,880	ENSMUSG00000031398.13	protein_coding	18846	Plxna3	12.293046511	MGI:MGI:107683	-0.319656373	-8.062469424	0.00000000000522	0.0000000130
chr4	101,068,983	101,152,370	83,388	+	6,342	ENSMUSG00000035275.14	protein_coding	242570	Raver2	2.455887135	MGI:MGI:2443623	0.237693988	8.014757035	0.00000000000649	0.0000000144
chr1	74,601,445	74,636,894	35,450	+	6,437	ENSMUSG00000033276.18	protein_coding	269209	Stk36	1.464015944	MGI:MGI:1920831	-0.371349404	-7.951974517	0.00000000000864	0.0000000173
