chr	start	end	width	strand	Length	gencodeID	gene_type	EntrezID	Symbol	meanExprs	MGI_Symbol	logFC	t	P.Value	adj.P.Val
chr12	99,190,078	99,563,508	373,431	-	11,501	ENSMUSG00000033713.12	protein_coding	71375	Foxn3	5.899537019	MGI:MGI:1918625	0.213546149	7.703817391	0.000000005	0.000049339
chr13	80,883,384	80,896,035	12,652	+	6,266	ENSMUSG00000074794.10	protein_coding	105171	Arrdc3	11.176159405	MGI:MGI:2145242	0.631609628	7.733826564	0.000000005	0.000049339
chr4	21,847,583	21,876,475	28,893	+	10,187	ENSMUSG00000028248.15	protein_coding	66625	Pnisr	9.713671746	MGI:MGI:1913875	0.353431751	7.233682646	0.000000020	0.000129842
chr7	98,885,021	99,141,141	256,121	-	9,035	ENSMUSG00000035354.9	protein_coding	78610	Uvrag	4.039030865	MGI:MGI:1925860	0.209212751	7.096118159	0.000000029	0.000146134
chr11	95,274,259	95,310,201	35,943	-	5,536	ENSMUSG00000038909.16	protein_coding	217127	Kat7	16.233820606	MGI:MGI:2182799	0.160565985	6.909970107	0.000000051	0.000203021
chr1	86,703,808	87,050,095	346,288	+	8,901	ENSMUSG00000053333.15	protein_coding	208718	Dis3l2	3.940464949	MGI:MGI:2442555	0.176010417	6.778349192	0.000000075	0.000243392
chr12	80,945,504	80,950,507	5,004	+	3,988	ENSMUSG00000021134.17	protein_coding	20384	Srsf5	44.792145500	MGI:MGI:98287	0.209793717	6.736193126	0.000000085	0.000243392
chr5	146,845,071	146,847,382	2,312	+	1,201	ENSMUSG00000029641.8	protein_coding	68895	Rasl11a	2.731210164	MGI:MGI:1916145	0.485118639	6.331255507	0.000000287	0.000717750
chr19	41,845,972	41,848,132	2,161	-	2,161	ENSMUSG00000047604.3	protein_coding	212398	Frat2	7.509015182	MGI:MGI:2673967	0.200973784	6.278732394	0.000000337	0.000747436
chr11	59,661,305	59,780,860	119,556	+	13,327	ENSMUSG00000005417.17	protein_coding	26936	Mprip	25.242442525	MGI:MGI:1349438	0.172888646	6.184765763	0.000000447	0.000893238
chr5	5,781,615	5,783,555	1,941	-	1,941	ENSMUSG00000100801.1	processed_pseudogene	727711	Gm15459	5.251461708	MGI:MGI:3705702	0.299298711	6.125066913	0.000000536	0.000909248
chr11	69,673,115	69,682,084	8,970	-	3,632	ENSMUSG00000005204.12	protein_coding	80886	Senp3	24.352004333	MGI:MGI:2158736	0.151500059	6.118540718	0.000000546	0.000909248
chr8	11,611,583	11,635,754	24,172	-	7,492	ENSMUSG00000031508.14	protein_coding	102334	Ankrd10	9.222889351	MGI:MGI:1921840	0.246182170	6.039684825	0.000000693	0.000989244
chr18	16,588,877	16,809,246	220,370	-	8,066	ENSMUSG00000024304.14	protein_coding	12558	Cdh2	28.153500582	MGI:MGI:88355	0.183544796	6.040976180	0.000000691	0.000989244
chr12	24,651,274	24,662,789	11,516	+	4,340	ENSMUSG00000020653.12	protein_coding	194655	Klf11	5.137749310	MGI:MGI:2653368	0.306774434	6.004690841	0.000000771	0.001026435
chr2	78,868,124	78,921,293	53,170	+	4,390	ENSMUSG00000027011.14	protein_coding	22193	Ube2e3	32.207265243	MGI:MGI:107412	0.129348712	5.964186169	0.000000871	0.001087822
chr4	87,769,925	88,033,364	263,440	-	12,004	ENSMUSG00000028496.17	protein_coding	70122	Mllt3	8.727406686	MGI:MGI:1917372	0.266281754	5.942772679	0.000000930	0.001092424
chr2	101,678,429	101,701,669	23,241	+	7,883	ENSMUSG00000027164.8	protein_coding	22034	Traf6	3.428673227	MGI:MGI:108072	0.235308271	5.846802730	0.000001244	0.001129011
